,nama_tas,harga
0,TAS DOKUMEN PORTOFOLIO KODE AG-70,Rp 463.000
1,Tas Tangan & Clutch Wanita Kulit Import Asli Warna Pink (Merah Muda),Rp 118.000
2,Tas Santai Biru Tua,N/A
3,Tas Ransel Wanita Kulit Import Asli Warna White (Putih),Rp 108.000
4,tas kulit istimewa dengan emboss,Rp 260.000
5,TAS SELEMPANG KULIT LEVI KULIT KK-31,Rp 505.000
6,Tas Ransel Wanita Kulit Import Asli Warna Blue (Biru Tua),Rp 108.000
7,Tas Selempang Kulit Pria MK-01 Two Tone Hitam Mix Alloy Orange 8inc,Rp 635.000
8,Tas Ransel Wanita Kulit Import Asli Warna Black (Hitam),Rp 108.000
9,TAS KERJA KULIT SLIMFIT KK-278,Rp 409.900
10,Tas Ransel Wanita Kulit Import Asli Warna Red (Merah Tua),Rp 108.000
11,Tas Selempang  Arya Sling Bag Leather-Black,Rp 760.000
12,Tas Tangan & Clutch Wanita Kulit Import Asli Warna Red (Merah),Rp 118.000
13,Tas Dokumen Kulit Imitasi Tas Kerja Kulit Kode MK-02,Rp 123
14,Tas Tangan & Clutch Wanita Kulit Import Asli Warna White (Putih),Rp 118.000
15,Tas Kerja Kulit Tas Kerja Kantor Kulit Kode MK-03,Rp 123
16,Tas Tangan & Clutch Wanita Kulit Import Asli Warna Black (Hitam),Rp 118.000
17,Tas Kulit Kerja Wanita KK-07,Rp 960.000
18,Tas Ransel Wanita Kulit Import Asli Warna Pink (Merah Muda),Rp 108.000
19,Tas Kulit Kerja Metropolis Tas Kerja Kulit Kode MK-02,Rp 123
20,Variasi Aksesoris Tas Perempuan Model Apel Merah Motif Kulit Strawberry,N/A
21,Tas Tangan & Clutch Wanita Kulit Import Asli Warna Blue (Biru),Rp 118.000
22,Tas Kulit dan Handbags Espro,Rp 165.000
23,TAS KERJA LAPTOP KULIT KK-40,Rp 760.000
24,Tas Ransel Wanita Kulit Import Asli Warna Blue (Biru Muda),Rp 108.000
25,TAS SELEMPANG KULIT PENERBANG KLASIK KK-15,Rp 560.000
